Term ID	Class	Description	Status
042-2623	042	Research and development in the field of energy	A
042-2624	042	Research and development in the field of solar thermal energy	A
043-2560	043	Providing home-based child care services	A
043-2197	043	Providing child care for {indicate for whom the child care is provided, e.g., special needs children, infants, primary-school-aged children, etc.}	X
016-3158	016	Plastic bags for disposable nappies	A
004-264	004	Renewable energy, namely, solar energy, wind energy and geothermal energy	D
004-626	004	Electrical energy from solar power	A
000-26	000	Charitable outreach services, namely, providing counseling services in the field of {indicate specific field, e.g., health, drug rehabilitation, religion, etc.} [classification depends on subject matter]	A
000-17	000	Providing a website featuring trivia in the field of {indicate service-related subject matter or field} [classification depends on service-related subject matter]	A
000-3	000	Providing an on-line computer database in the field of {indicate specific service-related field} [class depends on service-related subject matter of database]	A
000-50	000	Providing educational information in the field of {indicate subject matter of information} [subject matter of information determines classification]	A
000-24	000	Providing on-line information, news and commentary in the field of {indicate service-related subject matter or field} [classification depends on service-related subject matter]	A
004-625	004	Electrical energy from renewable sources	A
004-627	004	Electrical energy from wind power	A
000-25	000	Providing information, news and commentary in the field of {indicate service-related subject matter or field} [classification depends on service-related subject matter]	A
000-27	000	Providing a website featuring educational information in the field of {indicate subject matter of information} [subject matter of website determines classification]	A
000-46	000	Rental services in the field of {indicate goods, e.g., telephones, construction equipment, etc.} [classification depends, in principle, on the services provided by means of the rented objects]	A
000-33	000	Providing advice in the field of {indicate field or subject matter of advice - this information will control the classification of the service}	A
000-9	000	Telephone hot line counseling, namely, offering advice regarding {indicate specific subject area, e.g. substance abuse}	M
000-35	000	Providing information in the field of {indicate service-related subject matter or field} via the Internet [classification depends on service-related subject matter]	A
000-34	000	Collective Trademarks [See TMEP Section 1303] [classification based on the goods]	A
010-2059	010	Medical cooling apparatus for treating concussions	A
021-440	021	Artificial eggs	D
016-3386	016	Printed seminar notes in the field of {indicate field or subject matter}	A
016-719	016	Printed seminar notes	D
041-1576	041	Charitable services, namely, providing facilities for educational {specify type of educational activity, e.g., classes, seminars, workshops, etc.} to {indicate group or individual, e.g., needy children, veterans, etc.}	A
010-2060	010	Medical cooling apparatus for treating brain injuries	A
009-6165	009	Downloadable printable place cards	A
035-1125	035	Business marketing and direct mail consulting services	D
016-723	016	Printed place cards	M
009-6200	009	Wireless portable document printers for use with laptops and mobile devices	A
009-6201	009	Wireless microphones with integrated speakers	A
009-6202	009	Humanoid robots with artificial intelligence for use in scientific research	A
009-6203	009	Headsets for playing video games	A
009-6204	009	Gaming headsets for playing video games	A
009-6205	009	Effects pedals for guitars	A
009-6206	009	Cell phone cases for bicycles	A
009-6207	009	Cell phone holders for vehicles	A
009-6208	009	Cell phone mounts for vehicles	A
009-6209	009	Anti-slipping dashboard mats specially adapted for holding mobile telephones and smartphones	A
009-6210	009	Dashboard mats specially adapted for holding mobile telephones and smartphones	A
009-6211	009	Bioreactors for cell culturing for scientific research	A
009-6212	009	Contact lens cases incorporating ultrasonic cleaning functions	A
009-6213	009	Cooling pads for laptop computers	A
009-6215	009	Electrolysis apparatus for laboratory use	A
009-6216	009	Fermentation apparatus for laboratory use	A
009-6217	009	Flash lamps for smartphones	A
009-6218	009	Foldable smartphones	A
009-6219	009	Holders adapted for mobile telephones and smartphones	A
009-6220	009	Mobile phone chargers	A
009-6221	009	Selfie ring lights for smartphones	A
009-6223	009	Spectacles for correcting color blindness	A
009-6225	009	Fire-extinguishing apparatus	A
010-2062	010	Contraceptive implants	A
010-2063	010	Medical apparatus for monitoring blood glucose levels	A
010-2065	010	Ear plugs for hearing protection	A
010-2066	010	Cosmetic apparatus using ultrasonic waves for performing aesthetic facial treatment procedures	A
010-2067	010	Haptic suits for medical purposes	A
010-2068	010	Electroencephalography (EEG) helmets for monitoring and measuring brain activity for medical diagnostic purposes	A
010-2069	010	Earpicks incorporating endoscopy cameras for medical purposes	A
010-2070	010	Apparatus for testing breast milk for medical purposes	A
010-2071	010	Disposable steam-heated patches for therapeutic purposes	A
010-2072	010	Crystals for therapeutic purposes	A
010-2073	010	Keratometers	A
010-2074	010	Compression sleeves incorporating digital sensors	A
010-2075	010	Electric massage therapy guns	A
010-2076	010	Electric muscle stimulation bodysuits for medical purposes	A
010-2077	010	Fingerstalls for medical purposes	A
010-2078	010	Finger-stalls for medical purposes	A
011-4268	011	Adsorption apparatus for generating nitrogen	A
011-4269	011	Adsorption apparatus for generating oxygen	A
037-1552	037	Fueling, washing, cleaning, maintenance and repair of vehicles	A
037-1553	037	Fuelling of vehicles	A
037-1554	037	Fuelling services for aircraft	A
037-1558	037	Furniture restoration and providing information relating thereto	A
037-1559	037	Furniture restoration and provision of information relating thereto	A
037-1566	037	Hydroelectric factory construction	A
037-1567	037	Information and consultancy services relating to vehicle repair	A
037-1574	037	Installation and repair of air-conditioning systems	A
037-1579	037	Installation and repair of fire alarms	A
037-1580	037	Installation and repair of freezing equipment	A
037-1601	037	Installation, maintenance and repair of automatic apparatus for opening and closing skylights	A
037-1604	037	Installation, maintenance and repair of automatic apparatus for opening and closing windows, fanlights, skylights and ventilation flaps	A
030-539	030	Potato flour	M
037-1460	037	Carpet and rug cleaning, and provision of information relating thereto	A
037-1463	037	Cleaning of automobiles	A
037-1464	037	Cleaning of carpets and rugs	A
037-1465	037	Cleaning of carpets and rugs, and providing information relating thereto	A
017-353	017	Adhesive-coated plastic sheets	D
018-273	018	Briefcases [leather goods]	D
019-439	019	Timber	D
021-873	021	Gravel paper for bird cages	D
024-423	024	Furniture coverings made of plastic materials	D
041-153	041	Zoos	A
041-226	041	Film editing	M
044-2239	044	Oral medical care services	A
044-2949	044	Cognitive behavioral therapy (CBT)	A
025-332	025	Hat bands	D
029-451	029	Proteins being foodstuffs for human consumption	D
029-419	029	Milk proteins	D
030-581	030	Wheat flour [for food]	D
030-542	030	Powdered starch syrup [for food]	D
030-553	030	Sago palm starch [for food]	D
030-523	030	Honey [for food]	D
035-469	035	Evaluation of standing timber	D
003-937	003	Non-slipping liquids for floors	D
005-935	005	Air fresheners and air freshening preparations	D
005-863	005	Air freshening preparations	D
009-2990	009	Amusement apparatus adapted for use with television receivers only	D
016-1232	016	Paper diapers	D
011-198	011	Sun lamps	A
021-125	021	Shaving pots	A
005-538	005	Anti-pathogen plant-protecting preparations	D
011-580	011	Shampoo basins for barbers' shop use	D
011-228	011	Candle lanterns	D
019-445	019	Aviary assembly kits [not of metal]	D
035-1419	035	Statistical analysis and reporting services for business purposes	A
039-735	039	Transport services for sightseeing tours	A
040-940	040	Incineration of medical waste	A
042-2599	042	Medical research in the field of epidemiology	A
044-2685	044	Agricultural advice in the field of fertilization	X
044-146	044	Leasing of agricultural equipment	A
045-1179	045	Wedding ceremony planning and arranging consultation services	A
028-1161	028	Toy model hobbycraft kits	D
029-662	029	Casein for food	D
035-695	035	Services relating to the analysis, evaluation, creation and brand establishment of trademarks, trade names and domain names	D
036-565	036	Savings banks	D
037-774	037	Decorative painting services	D
039-581	039	Transportation of goods, passengers and travellers by air	D
041-882	041	Music-halls	D
042-740	042	Creating or maintaining web sites for others	D
016-1489	016	Paper cutters	D
021-147	021	Pepper mills	D
024-96	024	Curtain fabric	A
025-91	025	Foundation garments	A
027-70	027	Beach mats	A
035-43	035	Bookkeeping	A
044-2951	044	Dialectical behavior therapy (DBT)	A
044-2950	044	Urogynecology services	A
044-2287	044	Horse farming services	X
044-2292	044	Dairy farming services	X
025-499	025	Textile nappies	D
037-1587	037	Installation and repair of window blinds	A
037-1590	037	Installation of heating equipment	A
037-1591	037	Installation, maintenance and repair of air purifying apparatus	A
037-1592	037	Installation, maintenance and repair of air-conditioning apparatus	A
037-1593	037	Installation, maintenance and repair of air-conditioning systems	A
037-1597	037	Installation, maintenance and repair of apparatus for checking the authenticity of banknotes	A
037-1598	037	Installation, maintenance and repair of apparatus for processing metals	A
037-1599	037	Installation, maintenance and repair of automated teller machines	A
037-1600	037	Installation, maintenance and repair of automatic apparatus for opening and closing fanlights	A
037-1602	037	Installation, maintenance and repair of automatic apparatus for opening and closing ventilation flaps	A
037-1603	037	Installation, maintenance and repair of automatic apparatus for opening and closing windows	A
037-1605	037	Installation, maintenance and repair of automatic doors and gates	A
037-1606	037	Installation, maintenance and repair of automatic teller machines	A
037-1607	037	Installation, maintenance and repair of batteries and accumulators	A
037-1608	037	Installation, maintenance and repair of blow molding machines	A
037-1612	037	Installation, maintenance and repair of cash dispensing machines	A
037-1613	037	Installation, maintenance and repair of cash registers	A
037-1614	037	Installation, maintenance and repair of catalytic converters	A
037-1615	037	Installation, maintenance and repair of chassis parts and bodies for vehicles	A
037-1616	037	Installation, maintenance and repair of computer hardware and peripherals	A
037-1617	037	Installation, maintenance and repair of computer hardware for electronic data processing systems	A
037-1618	037	Installation, maintenance and repair of computer hardware for telecommunications systems	A
037-1619	037	Installation, maintenance and repair of computer peripherals	A
037-1620	037	Installation, maintenance and repair of computers and computer peripherals	A
037-1621	037	Installation, maintenance and repair of container filling machines	A
037-1624	037	Installation, maintenance and repair of escalators	A
037-1625	037	Installation, maintenance and repair of fire alarms	A
037-1628	037	Installation, maintenance and repair of fire suppression systems	A
037-1629	037	Installation, maintenance and repair of fire, smoke and heat alarms	A
037-1630	037	Installation, maintenance and repair of fire, smoke and heat detectors	A
037-1631	037	Installation, maintenance and repair of flare stacks for use in oil refineries	A
037-1638	037	Maintenance of furniture	A
037-1639	037	Petrol refueling services for motor vehicles	A
037-1646	037	Restoration, repair and maintenance of furniture	A
037-1647	037	Sanding of floors	A
009-5992	009	Downloadable mobile applications for monitoring persons with possible exposure to {specify exposure, e.g., a carrier of an infectious disease, public health outbreaks, etc.} to facilitate contact tracing	A
009-5993	009	Downloadable mobile applications for identifying persons with possible exposure related to {specify exposure, e.g., a carrier of an infectious disease, public health outbreaks, etc.} to facilitate contact tracing	A
009-5994	009	Downloadable mobile applications for analyzing and reporting self-assessment of illness	A
009-5995	009	Downloadable mobile applications for analyzing and reporting self-assessment of illness for the purpose of {specify, e.g., infectious disease, E. coli outbreak, etc.} contact tracing	A
009-5996	009	Downloadable software for recording and analyzing real-time location data to predict the spread of an illness in a community	A
010-1997	010	Embedded software for communicating temperature data to track illness symptoms sold as a component of thermometers for medical purposes	A
035-3104	035	Contact tracing services in the nature of providing referrals to {indicate, e.g., persons who test positive for infectious diseases, contacts of sick people, etc.} for {indicate, e.g., physician services, mental health counselors, etc.}	A
035-3105	035	Promoting public awareness of {indicate, e.g., the importance of wearing masks, hand washing, etc.} to prevent the spread of {indicate, e.g., infectious diseases, E. coli outbreaks, etc.}	A
016-3107	016	Pen boxes	A
016-3213	016	Cases for pens	A
016-3297	016	Table mats made of paper	A
016-3298	016	Paper table mats	A
016-3299	016	Serviettes of paper	A
016-3300	016	Table runners made of paper	A
016-3301	016	Paper table runners	A
016-3302	016	Table runners of paper, disposable	A
016-3303	016	Table runners made of paper, disposable	A
016-3304	016	Disposable paper table runners	A
016-3305	016	Table runners made of cellulose	A
016-3306	016	Tags of cardboard	A
016-3307	016	Tags made of cardboard	A
016-3308	016	Cardboard tags	A
016-3309	016	Tags of paper	A
016-3310	016	Tags made of paper	A
016-3312	016	Tags made of paper or cardboard	A
016-3313	016	Technical pens	A
016-3314	016	Printed television program guides	A
016-3315	016	Printed television programme guides	A
016-3316	016	Printed television guides	A
016-3317	016	Three-dimensional decalcomanias for use on any surface	A
016-3319	016	Tips for ball-point pens	A
016-3320	016	Toilet bowl liners of paper	A
016-3322	016	Toilet seat covers of paper	A
041-297	041	Personal coaching services in the field of {indicate field or subject matter}	A
041-2368	041	Personal coaching services in the field of {indicate field or subject matter} provided via {indicate means, e.g., downloadable mobile applications, a website, etc.}	A
001-2324	001	Captured carbon dioxide (CO2) for use in further manufacture of {indicate, e.g., fertilizers, building insulation, skateboard wheels, etc.}	A
007-4477	007	Offshore wind turbines	A
007-4478	007	Onshore wind turbines	A
009-6111	009	Solar power towers	A
009-6112	009	Thermoelectric generators	A
009-6113	009	Crystalline silicon photovoltaic cells	A
009-6114	009	Microcrystalline silicon photovoltaic cells	A
009-6116	009	Surveying apparatus	A
007-4476	007	Dumpling making machines, electric	A
009-6109	009	Flexible printed circuits	A
011-4248	011	Electric paraffin wax bath apparatus, not for medical purposes	A
011-4249	011	Ultraviolet cosmetic puff sterilizers for household purposes	A
016-3214	016	Chopstick covers of paper	A
016-3215	016	Food waste bags of biodegradable plastic for household use	A
017-964	017	Asbestos threads	A
017-965	017	Plastic anti-fogging films for car rearview mirrors	A
020-2000	020	Statuettes of resin	A
021-4781	021	Chopstick stands	A
021-4782	021	Flat cooking ladles	A
021-4783	021	Glass scrapers for cleaning purposes	A
021-4784	021	Insulated containers for beverage cans, for domestic use	A
028-4440	028	Grip tapes for ice hockey sticks	A
029-1985	029	Pork livers	A
031-1043	031	Powdered milk for pets	A
040-1060	040	Custom manufacture of cinerary caskets	A
008-4271	008	Non-electric eyebrow trimmers	A
005-2185	005	Chemical preparations for treating diseases affecting cereal plants	A
006-43	006	Metal brazing rods	A
009-6142	009	Downloadable comics	A
028-4449	028	Exercise wheels for cats	A
034-366	034	Ashtrays incorporating match lighters	A
030-1985	030	Salt substitutes for use as a seasoning	A
010-2057	010	Medical devices for use in diagnosing {indicate specific condition}	A
005-353	005	Vitamin drops	A
005-1630	005	Disposable swim diapers for children and infants	M
005-1440	005	Starch for pharmaceutical purposes	A
005-31	005	Medicated compresses	A
009-5756	009	Low-voltage power supplies	A
010-1280	010	Abdominal hernia belts	M
010-153	010	Surgical shoe covers	A
011-320	011	Electric holiday lights	A
012-1384	012	Transmission shafts for land vehicles	A
001-330	001	Chemical products for the preparation of enamels	D
008-383	008	Sugar scoops	D
017-383	017	Rubber stoppers [for industrial packaging containers]	D
024-153	024	Handkerchiefs	D
025-881	025	Heavy coats	A
029-876	029	Milk protein	D
029-441	029	Lard [for food]	D
030-871	030	Flavourings [other than essential oils]	D
030-160	030	Crystallized gingers	D
031-380	031	Additives to fodder, not for medical use	D
031-338	031	Protein for animal consumption	D
032-205	032	Essences for making flavoured mineral water [not in the nature of essential oils]	D
035-899	035	Audience rating determination for radio and television broadcasts	D
035-866	035	Business intermediary and advisory services in the field of selling products and rendering services	D
035-1183	035	Commercial information and advice for consumers [consumer advice shop]	D
036-298	036	Issue of traveller's cheques	D
036-1002	036	Issuing traveler's checks by travel agencies	D
037-234	037	Vermin extermination other than for agriculture	D
037-482	037	Vulcanizing of automobile tires [repair]	D
039-575	039	Travel courier and travel guide services	D
041-1472	041	Educational examination	D
042-1083	042	Computer hardware and software consulting services	D
011-3865	011	Friction lighters for igniting gas	A
016-2476	016	Paper wipes for cleaning	A
020-91	020	Wood doorknobs	A
021-1571	021	Dental floss picks	A
023-6	023	Thread	A
005-1417	005	Hygienic bandages	D
008-321	008	Rice scoops	D
009-1397	009	Laser welding devices	D
009-3394	009	Amusement apparatus and games adapted for use with television receivers or with video or computer monitors	D
009-5952	009	Downloadable sewing patterns	A
009-5927	009	Downloadable emoticons	A
009-5909	009	Downloadable calendaring software	A
009-209	009	Spectacles	A
010-1942	010	Protective gowns for medical use	A
005-2394	005	Allergy medication	A
005-2395	005	Swim diapers for babies	A
008-4280	008	Electric foot files	A
020-2008	020	Foam pillows	A
020-1791	020	Imitation tortoiseshell	A
016-2548	016	Food-wrapping paper	A
037-17	037	Scaffolding repair	A
037-16	037	Scaffolding erection	A
041-62	041	Conducting workshops and seminars in self awareness	A
037-2398	037	Installation and repair of heaters for baths	A
037-2399	037	Installation and repair of vending machines	A
041-2380	041	Rental of tables for table tennis	A
041-2381	041	Rental of football fields	A
042-2643	042	Vaccine research and development services	A
025-1612	025	Rain boots for children	A
007-518	007	Wind-powered electricity generators	A
011-51	011	Electric toasters	A
012-1367	012	Vehicle suspension springs	A
012-371	012	Motorcycle kickstands	A
016-1961	016	Printed architectural plans	M
016-1316	016	Coarse tissue for toiletry use	M
012-1554	012	Tyres for snow ploughs	A
009-6162	009	Snorkels for swimming training	A
021-854	021	Electric pet brushes	A
021-540	021	Ceramic figurines	A
025-737	025	Maternity lingerie	A
030-674	030	Salt for preserving food	A
025-1593	025	Disposable aprons	A
025-1594	025	Down coats	A
044-2952	044	Spray tanning salon services	A
044-272	044	Vascular screening	A
035-3134	035	Testing, analysis, and evaluation of the knowledge, skills, and abilities of others to determine job competency	A
035-3135	035	Testing, analysis, and evaluation of the knowledge, skills, and abilities of others for personnel selection purposes	A
035-3136	035	Testing, analysis, and evaluation of the knowledge, skills, and abilities of others for career placement purposes	A
025-1595	025	Faux fur muffs	A
025-1596	025	Faux fur hats	A
025-1597	025	Faux fur cloaks	A
025-1598	025	Faux furs being clothing	A
025-1599	025	Faux fur coats	A
025-1600	025	Faux fur stoles	A
025-1602	025	Faux fur coats and jackets	A
025-1603	025	Faux fur gloves	A
016-683	016	Three dimensional models for educational purposes	M
035-1965	035	Online service for connecting social network users with retailers for the purpose of facilitating discounted purchases	D
035-3137	035	Online matching services for connecting social network users with retailers for the purpose of facilitating discounted purchases	A
016-3218	016	Protective book covers	A
016-3219	016	Protractors for use as drawing instruments	A
016-3220	016	Drawing protractors	A
016-3222	016	Pulp-based biodegradable paper containers for take-out food	A
016-3225	016	Printed cookery books	A
016-3226	016	Red algae gelatin glue for stationery or household purposes	A
016-3227	016	Red algae gelatine glue for stationery or household purposes	A
016-3228	016	Refill cartridges for ink pens	A
016-3230	016	Refills for drafting pencils	A
016-3231	016	Refills for automatic pencils	A
016-3232	016	Clutch pencil refills	A
016-3235	016	Propelling pencil refills	A
016-3236	016	Mechanical pencil refills	A
016-3237	016	Refills for mechanical pencils	A
016-3238	016	Refills for propelling pencils	A
009-6120	009	Dye-sensitized solar cells	A
011-4251	011	Nuclear fusion reactors	A
011-4250	011	Nuclear fission reactors	A
042-2630	042	Research and development of technology in the field of power conversion	A
042-2631	042	Research and development of technology in the field of carbon dioxide (CO2) mitigation	A
042-2632	042	Research and development of technology in the field of negative-emissions technology (NET)	A
036-1281	036	Prepaid preventive maintenance service plans for {indicate specific goods, e.g., automobiles, air conditioning units, computers, etc.}	A
043-46	043	Providing elder care [day care]	D
043-301	043	Providing day care centers	M
005-2387	005	Slimming tea for medical purposes	A
008-4269	008	Hand-operated nail clippers for pets	A
008-4270	008	Candle wick trimmers being scissors	A
031-1042	031	Powdered milk for animals	A
009-6110	009	Anti-fogging safety goggles	A
016-3216	016	Electric letter openers for office use	A
016-3217	016	Printed stationery	A
016-3221	016	Protractors for drawing	A
016-3223	016	Pulp-based biodegradable paper containers for take-away food	A
016-3224	016	Printed cookbooks	A
016-3229	016	Refills for ball-point pens	A
016-3233	016	Drafting pencil refills	A
016-3234	016	Automatic pencil refills	A
016-3239	016	Refills for clutch pencils	A
016-3240	016	Report covers of paper	A
016-3241	016	Report covers made of paper	A
016-3242	016	Ribbons and bows of paper for gift wrapping	A
011-3893	011	Pressure cooking saucepans, electric	A
011-89	011	Urinals being sanitary fixtures	M
016-1748	016	Paper toilet bowl liners	A
021-10	021	Trouser stretchers	A
021-313	021	Hand-operated flour sifters for household use	M
021-279	021	Porcelain eggs	A
001-704	001	Reagent for chemical analyses	D
002-135	002	Food dyes [food colorants]	D
013-262	013	Firearm sights	D
007-1863	007	Engines for air cushion vehicles	A
003-1905	003	Fragrance for household purposes	A
006-1591	006	Ropes of metal	X
006-1801	006	Statues of non-precious metal of religious icons	A
008-445	008	Shrimp deveiners	A
008-4248	008	Tire irons	A
005-2382	005	Reagents for use in veterinary genetic testing	A
005-2383	005	Sunburn preparations for pharmaceutical purposes	A
006-1802	006	Boarding stairs of metal, mobile, for passengers	A
008-4250	008	Electric steam irons	A
008-4251	008	Hand taps	A
008-4252	008	Hand-operated staple guns	A
029-370	029	Beef tallow for food	M
007-4459	007	Seed drills for agricultural machines	A
009-5989	009	Waterproof camcorder cases	A
009-5990	009	USB chargers adapted for car cigarette lighter sockets	A
021-4738	021	Bamboo baskets for household purposes	A
031-1025	031	Yacon roots, fresh	A
045-2741	045	Consultancy services in the field of the safety needs of commercial and industrial companies	A
029-1958	029	Shrimp meat floss	A
037-1486	037	Concrete polishing services	A
007-1580	007	Steam cleaning machines in the nature of steam mops	A
037-1528	037	Custom construction of houses	A
037-1529	037	Custom construction of motorways	A
037-1540	037	Dry-cleaning	A
037-1541	037	Emergency roadside repair of vehicles	A
037-2042	037	Installation of computer systems	A
037-2045	037	Maintenance and repair of land vehicles	A
037-2047	037	Provision of laundry facilities	A
037-2049	037	Repair or maintenance of machines and apparatus for lumbering	A
037-2050	037	Repair or maintenance of machines and apparatus for papermaking	A
030-1837	030	Savoury pancakes	A
031-811	031	Algarovilla for animal consumption	A
031-786	031	Bran mash for animal consumption	X
031-795	031	Cattle food	A
031-782	031	Chicory, fresh	X
031-784	031	Coconut shell	X
031-62	031	Dog biscuits	A
031-647	031	Edible sesame, unprocessed	A
037-1561	037	Gas drilling	A
037-1903	037	Oil drilling	A
045-126	045	Baby announcement services, namely, the temporary placement of signs announcing a birth	D
016-3114	016	Packing materials of cardboard	A
016-3115	016	Cushioning materials of cardboard	A
016-3116	016	Stuffing materials of cardboard	A
016-3118	016	Cushioning materials of paper	A
016-3120	016	Cushioning materials of paper or cardboard	A
016-3123	016	Clutch pencils	A
016-3124	016	Drafting pencils	A
016-3125	016	Pencils with erasers	A
016-3126	016	Pencil tins	A
016-3128	016	Cap erasers	A
016-3129	016	Pencil trays	A
016-3130	016	Pennons made of paper	A
016-3132	016	Pen wipers	A
016-3133	016	Personal organisers	A
016-3134	016	Photocopying paper	A
016-3136	016	Albums for photographs	A
016-3137	016	Photographic black paperboard	A
016-3141	016	Picture mounts made of cardboard	A
016-3143	016	Picture mounts made of paper	A
016-3144	016	Pizza boxes of cardboard	A
016-3145	016	Pizza boxes made of cardboard	A
016-3146	016	Cardboard pizza boxes	A
016-3149	016	Placards made of paper	A
016-3151	016	Signs of cardboard	A
016-3152	016	Signs made of cardboard	A
016-3153	016	Cardboard signs	A
016-3155	016	Signs made of paper	A
016-3156	016	Paper signs	A
016-3160	016	Plastic bags for household use	A
016-3163	016	Plastic film for wrapping food	A
016-3165	016	Plastic film roll stock for packaging food	A
016-3166	016	Plastic film roll stock for packaging pharmaceuticals	A
016-3167	016	Plastic pages with pockets for holding photographs	A
016-3168	016	Plastic pages with pockets for holding receipts	A
016-3171	016	Sandwich bags made of plastic	A
016-3172	016	Plastic sleeves for holding baseball cards	A
016-3173	016	Polymer modeling clay	A
016-3174	016	Polypropylene foil for wrapping	A
016-3177	016	Pouches of paper for wrapping	A
016-3178	016	Pouches of paper or plastics for packaging	A
016-3179	016	Pouches of paper or plastic for packaging	A
016-3184	016	Pouches made of plastic for wrapping	A
016-3185	016	Plastic pouches for wrapping	A
016-3186	016	Pressure sensitive stickers for application to vehicles	A
016-3187	016	Price tags of cardboard	A
016-3191	016	Price labels of paper	A
016-3196	016	Printed gift vouchers, not encoded	A
016-3199	016	Printed invitations made of paper	A
009-6106	009	Downloadable knitting patterns	A
043-2559	043	Providing home-based childcare services	A
043-2562	043	Providing in-home child care services	A
043-2564	043	Providing family child care services	A
043-2565	043	Providing home-based daycare services	A
043-2566	043	Providing home-based day care services	A
043-2567	043	Providing in-home daycare services	A
043-2569	043	Providing daycare centers	A
043-2570	043	Providing adult day care centers	A
043-2571	043	Providing adult daycare centers	A
009-2890	009	Editing appliances for cinematographic films	D
009-4609	009	Wearable computer peripherals	D
010-404	010	Apparatus for clinical diagnosis	D
010-465	010	Endoscopic equipment	D
023-16	023	Yarn	A
033-210	033	Pre-mixed alcoholic beverages, other than beer-based	A
035-2278	035	The bringing together, for the benefit of others, of a variety of goods and services, enabling customers to conveniently view and purchase those goods and services from an Internet web site particularly specializing in the marketing of the sale of goods and services of others	D
039-583	039	Reservation and booking of seats for travel	D
005-35	005	Medicated hair care preparations	A
005-103	005	Disinfectants for medical instruments	A
010-1245	010	Orthodontic retainers	A
001-2310	001	Starch syrup for industrial purposes	A
001-2311	001	Corn starch for industrial purposes	A
037-1564	037	Gasoline refuelling services for motor vehicles	A
037-1565	037	Heating equipment installation	A
037-1569	037	Installation and maintenance of heating systems	A
037-1572	037	Installation and maintenance of traffic control apparatus	A
005-2362	005	Capillary stabilizing agents for medical purposes	A
005-2364	005	Decoctions of medicinal herb	A
005-2367	005	Dog lotions for veterinary purposes	A
005-2368	005	Fabric deodorizers	A
007-4434	007	Power driven polishers	A
007-4436	007	Power operated jacks	A
004-613	004	Olive oils for industrial purposes	A
004-614	004	Peanut oils for industrial purposes	A
004-615	004	Perilla oils for industrial purposes	A
004-620	004	Beef tallow for industrial purposes	A
004-622	004	Coal based fuels	A
007-4447	007	Chick brooders	A
007-4451	007	Electrically powered windlasses	A
005-2371	005	Medicated swabs	A
005-2372	005	Medicines for adjusting the menstrual cycle	A
005-2376	005	Nasal sprays for medical purposes	A
005-2377	005	Pantyliners	A
005-2378	005	Pharmaceutical preparations for use in discouraging the smoking habit	A
005-2381	005	Reagents for use in medical genetic testing	A
007-4456	007	Waste and trash conveying machines	A
001-2249	001	Rubber cement for repairing footwear	A
003-276	003	Essential oils for use in the manufacture of scented products	A
003-1121	003	Styling paste for hair	A
021-4716	021	Hand-operated pepper grinders	A
024-3	024	Textile printers' blankets	A
028-1795	028	Exercise hand grippers	A
042-521	042	Cross-platform conversion of digital content into other forms of digital content	A
006-1742	006	Metal step-in fence posts	A
006-1767	006	Metal T-posts for fences	A
006-1800	006	Roller doors of metal	A
006-1725	006	Accordion doors of metal	A
008-52	008	Engraving needles	A
037-1502	037	Construction services, namely, asphalt paving	A
037-1503	037	Construction services, namely, concrete paving	A
037-1532	037	Custom painting of vehicles	A
037-1533	037	Disinfecting of medical waste	A
037-1535	037	Disinfecting of telephone handsets and providing information relating thereto	A
037-1536	037	Disinfecting of telephone hand-sets and providing information relating thereto	A
037-1538	037	Disinfecting of telephone hand-sets and provision of information relating thereto	A
037-1544	037	Disinfection of surgical instruments	A
037-1539	037	Drilling of gas wells	A
037-1546	037	Exterior and interior cleaning of aircraft	A
037-1547	037	Floor cleaning	A
037-1551	037	Fueling of vehicles	A
037-1555	037	Fuelling, washing, cleaning, maintenance and repair of vehicles	A
037-1556	037	Fumigating services	A
037-1560	037	Furniture restoration, repair and maintenance services	A
037-1573	037	Installation and maintenance of traffic signs	A
037-1578	037	Installation and repair of electrical appliances	A
037-1594	037	Installation, maintenance and repair of alternators	A
037-1581	037	Installation and repair of furnaces	A
037-1582	037	Installation and repair of heating, ventilating and air-conditioning systems	A
037-1583	037	Installation and repair of locks	A
003-341	003	Polishing powders	A
003-370	003	Non-medicated scalp treatment cream	A
004-48	004	Lubricants for aircraft engines	A
005-1650	005	Acetaminophen	M
005-1632	005	Babies' swim diapers	A
005-266	005	Hemorrhoid treatment preparations	A
005-399	005	Injectable pharmaceuticals for treatment of anaphylactic reactions	A
005-773	005	Preparations to destroy mildew	A
007-4311	007	Electric noodle making machines	A
007-4302	007	Electric pasta making machines	A
008-4052	008	Goffering irons	A
003-1934	003	Essential oils for use in manufacturing processes	A
004-633	004	Fruitwood charcoal for use as fuel	A
005-2397	005	Baby vitamins	A
010-2058	010	Foam pillows for medical purposes	A
018-1	018	Horse halters	A
018-535	018	General purpose sport trolley bags	A
029-1696	029	Kumys	A
029-1697	029	Koumiss	A
030-898	030	Pesto	A
038-24	038	Electronic transmission of data and documents via computer terminals	A
009-5928	009	Downloadable ring tones	A
009-5910	009	Downloadable printable calendars	A
009-5902	009	Downloadable maps	A
011-1299	011	LED candles	A
005-989	005	Anti-inflammatory sprays	A
005-410	005	Human allograft tissue	A
005-163	005	Wound dressings	A
037-1466	037	Cleaning of carpets and rugs, and provision of information relating thereto	A
037-1467	037	Cleaning of exhibition stands	A
037-1470	037	Cleaning of exterior surfaces of buildings and provision of information relating thereto	A
